회사명,지원기간,공고명,직무내용,자격요건,우대조건,경력조건,기술 스택,출처 URL,복지
씨엔비지넷,"마감일
2023-07-31",서버/네트워크 구축 및 유지보수,devops/시스템 엔지니어,"• 경력 : 서버, 네트워크 시스템 운영 및 엔지니어 업무 경험 필수 (HP, DELL, IBM, CISCO) / 현장, 원격 유지보수
• 신입 : 서버 하드웨어 및 네트워크, 운영체제(리눅스 및 윈도우)에 대한 기본적인 능력","• 관련학과 졸업자 및 졸업예정자 컴퓨터/시스템 공학 관련학과
• 관련 자격증 소지자 정보처리기사/산업기사 등, 리눅스마스터/네트워크관리사 등
• 해당 직무 근무 경험자 / 관련 교육 수료자","경력
신입~10년","Linux
Windows
Cisco",https://www.jumpit.co.kr/position/13560,"• 통신비, 휴가비, 명절 상여 지원
• 연말 상여, 장기근속자 포상, 우수사원 포상
• 생일선물 및 명절선물 제공
• 사내 동호회 운영, 콘도 이용"
페이히어,"마감일
상시",DevOps 엔지니어,devops/시스템 엔지니어,"• 시스템 운영 및 DevOps 관련 경력이 3년 이상이거나 그에 준하는 경험이 있으신 분을 찾습니다.
• AWS 및 클라우드 서비스를 활용해서 개발 및 운영을 해본 경험이 있으신 분을 찾습니다.
• Python, Go 등 하나 이상의 프로그래밍 언어에 익숙하신 분을 찾습니다.
• 테크스펙 공유와 github 기반 코드 리뷰로 동료들과 함께 엔지니어로 성장할 수 있는 분을 찾습니다.","• Kubernetes와 마이크로서비스 관련된 인프라를 운영해본 경험이 있으시면 더 좋습니다.
• Infrastructure as Code 도구 사용 경험이 있으시면 더 좋습니다.
• 금융/핀테크 및 커머스 서비스를 개발하고 운영해 본 경험이 있으시면 더 좋습니다.
• AWS 외 다양한 클라우드 서비스를 다루어본 경험이 있으시면 더 좋습니다.","경력
경력 3~15년","AWS
Python
Go
GitHub
Kubernetes",https://www.jumpit.co.kr/position/14042,"[페이히어 근무 환경]
• 오전 8시~11시 사이에 자율적으로 출퇴근합니다.
• 본인의 업무 일정을 유연하게 관리합니다.
• 별도의 승인 절차가 없는 자율 휴가제를 운영하고 있습니다.
• 새로운 성장을 위해 재정비할 수 있도록, 연말에는 모든 직원들이 refresh 휴가를 가집니다.
• 데일리 미팅, 스프린트 및 회고, 타운홀 미팅 등을 주기적으로 진행합니다.
• 업무에 필요한 최고급 장비를 제공해드립니다.
• 커피, 제로콜라, 각종 음료, 과일, 스낵 등 다양한 간식을 무제한으로 제공해드립니다.
• 페이히어 가맹점 방문 시, 지원금을 드립니다. 
• 점심 식사비를 지원합니다. 혹시나 밤늦게까지 일하게 되시면 저녁 식사비를 지원합니다.
• 매년 130만원 상당의 종합 건강 검진을 지원합니다.
• 생일을 맞으신 분께 소정의 상품권을 드립니다.
• 경조사를 지원합니다.

[페이히어와 함께하는 성장]
• 자기 계발 및 성장에 필요한 비용(도서, 세미나, 교육 등)을 지원해드립니다.
• 회사 뿐만 아니라 개인도 성장할 수 있는, 주도적인 업무 환경과 성장 기회를 제공합니다."
에스피케이인크,"마감일
상시",K8S Product Support Engineer,devops/시스템 엔지니어,"• Good understanding of OS concepts and Storage/Networking technologies
• Good programming skills, Python, Shell scripting, JS","• Hands-on development experience in Kubernetes and cloud-native applications
• Understanding of RESTful APIs and working of distributed systems","경력
신입~3년","Python
Shell
JavaScript",https://www.jumpit.co.kr/position/9765,"• 본인 의료비
• 본인 및 직계 가족 경조사비
• 모바일 통신비
• 기념일 지급 (생일, 설, 한가위, 창립기념일, 근로자의 날)
• 자녀 학자금
• 장기 근속비
• 출산 축하금"
코코네M,"마감일
상시",SRE 엔지니어,devops/시스템 엔지니어,"• AWS, GCP 와 같은 클라우드 서비스의 운영 경험이 있는 분
• CI/CD 구축 및 운영 경험이 있는 분
• 무중단 서비스의 고가용성 유지를 위한 서버 인프라 설계 및 모니터링 경험이 있는 분
• 대용량 트래픽 서비스 운영 경험 및 트러블 슈팅 경험
• IT 장애발생시 장애조치 리드 및 원인분석, 유관부서 커뮤니케이션 역량을 보유하신 분
• 신규 또는 기존 서비스 성능테스트 및 분석, 개선 역할을 해본 경험","• DevOps/SRE 팀의 리딩 경험이 있는 분
• 장애 예방과 탐지, 전파와 조치 등의 프로세스를 정립하고 개선한 경험이 있는 분
• 인프라 및 미들웨어 연계 구간에 대한 깊은 이해와 구성 경험을 보유하신 분
• 다양한 인프라 및 어플리케이션, 오픈소스에 대한 아키텍처 설계, 구축 경험이 있으신 분
• Docker 및 Kubernetes, OpenShift 등 컨테이너 오케스트레이션 환경을 설계 및 구축한 경험이 있으신 분
• IaC 구축 및 운영 경험이 있으신 분
• 대규모 트래픽 처리를 위한 애플리케이션 인프라 구성 경험이 있으신 분
• 복잡한 시스템에 대하여 디버깅 할 수 있는 능력을 보유하신 분","경력
경력 5~10년","AWS
GCP
Docker
Kubernetes
Red Hat OpenShift
CentOS
Ubuntu
Windows
MongoDB
Zabbix",https://www.jumpit.co.kr/position/16250,"Merit&Motivation

[일과 휴식의 공존]
• 크루들의 휴식과 창의적인 활동 등 자기계발을 위한 매주 수요일 ""크리에이티브 데이""
• 5년 장기 근속 크루에게 한달 유급 휴가를 제공 ""리프레시 휴가""
• 기분 좋은 날,크루들과 함께 여유로운 식사 ""급여일 점심시간 2시간""
• 생일과 기념일 반차 지원　마음 편히 즐거운 시간 ""생일/기념일 휴가""

[역량을 펼칠 수 있는 최적의 환경 ]
• 팀과 프로젝트 상황에 따라 탄력적으로 출근과 재택으로 근무하는 ""유연한 리모트 근무제도""
• 일의 능률과 창의력이 향상되는 회사 내 원하는 곳에서 ""자율 좌석제""
• 편안한 분위기에서 자유롭게 의견을 주고받고 서비스 성장을 함께 고민할 수 있는 ""수평적인 분위기""
• 자기 주도적으로 역량으로 맘껏 펼칠 수 있도록 독려하는 ""인센티브 제도""

[건강한 식문화 조성 ]
• 호텔 레스토랑 출신의 전문 셰프님의 테마와 건강과 맛까지 잡은 ""코코네 레스토랑 델리""
• 무료 식음료(커피, 티) 구비 및 다양하고 건강한 간식과 음료를 반값으로 즐길 수 있는 ""스낵바"" 

[크루의 성장을 위한 지원 ]
• 온보딩 기간동안 노력해 온 과정을 되돌아보고 성장을 위한 앞으로의 비전을 함께 그려나가는 ""OBP 종료 프리젠테이션""
• 크루의 글로벌 역량 강화를 위해 사내 Language Director가 제공하는 영어, 일본어 등의 밀착케어 수업 ""Global language Class""
• 최고의 기술 수준을 유지하기 위한 매주 개발분야 이슈와 노하우를 공유하는 세미나 개발 직군 ""Tech-up Day""
• 하.고싶은 거 다.해! 직무 스킬 및 역량 향상을 위해 강의, 컨퍼런스, 세미나 등을 무제한 지원 ""하.다 무제한 성장지원""
• 업계 동향을 살피고 새로운 정보를 접할 수 있도록 관련 컨퍼런스 참여를 적극 지원하는 ""컨퍼런스 지원""
• 소설·에세이 등 다양한 분야의 책을 구비 및 리모트 근무 환경에 맞는 E-book 서비스 제공 ""코코문고"" 

[Medical & Health Care Program ]
• 전담 의료진이 일반 진료, 정기 검진을 비롯해 다이어트·금연 등의 건강증진 프로그램 구성된 ""코코네 부속메디컬센터""
• 전문 마사지 테라피스트 상주하여 개인별 몸상태와 스타일에 따른 맞춤형 마시지 서비스를 상시 제공 ""코코네 건강 마시지 프로그램""

[코코네 M의 일하는 분위기가 궁금하다면?]
• 인스타그램 @cocone_m
• 페이스북 https://www.facebook.com/coconekr
• 채용블로그 https://incruit-blog.cocone-m.com/

• 유튜브 스타 '대도서관+마리킴' 과 함께한 코코네 서비스 영상 보기
https://www.youtube.com/watch?v=OCfSxJVt0Es

• 유튜브 스타 '레이디한올'과 함께한 코코네 서비스 영상 보기
https://www.youtube.com/watch?v=zs-Z43qA5kg"
피닉스다트,"마감일
상시",전산 운영 담당자,devops/시스템 엔지니어,"• 학력 : 4년제졸
• 경력 : 경력(3년 이상)
• 성별 : 성별 무관
• EC2, LB, S3, CF, K8S 등의 AWS 인프라에 익숙한 분
• IDC 리눅스 서버를 관리 해보신 분
• 네트워크, 방화벽, 보안 등의 이해도가 있으신 분",• 5년 이상 경력 보유자,"경력
경력 3~10년","AWS
Amazon EC2
Amazon S3
K8S
Linux",https://www.jumpit.co.kr/position/15843,"• 주5일 근무제
• 4대 보험, 퇴직금, 연차휴가 등 법정 복리후생
• 경조사 지원(경조금 및 경조휴가 지급)
• 가정의달 문화 활동 지원(20만원 상품권)
• 여름 휴가비 지급(30만원)
• 기념일 선물(기프티콘 지급)
• 장기근속 포상제도(근속 포상금 및 포상휴가 지급)
• 인재추천 포상금
• 명절선물 지급
• 희망도서 구입 지원
• 넓고 안락한 사내 휴게실 이용(무료 간식/원두커피 무한 제공)
• 휴게실 다트 무료 이용
• 당사 직영매장 이용 시 직원 할인
• 임직원 주택자금 대여"
에이젠글로벌,"마감일
2023-08-04",[에이젠 글로벌] DevOps Engineer,devops/시스템 엔지니어,"• Cloud 인프라 운영 경력 3년 이상 보유하신 분 또는 이에 준하는 역량
• Cloud Computing에 대한 이해가 깊으신 분
• Kubernetes 관련 경험","• 모니터링, 로깅시스템 구축 및 운영 경험
• Terraform, Helm 등을 활용한 laC 경험
• Kubernetes에서 lstio와 같은 Service Mesh 관련 경험","경력
경력 3~5년","Python
AWS
GCP
Kubernetes
Docker
IBM Containers
Django
Terraform",https://www.jumpit.co.kr/position/5906,"• 업계 최고 수준의 개발환경 및 장비를 제공합니다.
• 자유롭게 연차휴가를 사용합니다.
• 전용 공간과 개방형 업무공간을 지원합니다.
• 우수 직원과 장기근속자에 대해 포상을 제공합니다.
• 장기적으로 큰 기여를 해 주신 분께는 스톡옵션의 기회도 드립니다."
오케스트로,"마감일
상시",Opensource Community Developer,devops/시스템 엔지니어,"• 팀원분들과 효율적으로 커뮤니케이션 가능한 분
• 오픈소스 활용에 관심이 높으신 분
• 협업을 중시하고, 문제해결을 갖추신 분
• 스스로 성장하고자 하는 의지가 있으신분
• CNCF나 OpenInfra 재단과 커뮤니케이션하기 위하여 영어 능통자
• 오픈소스 재단에 기여하고 커뮤니티 활동에 관심있으신 분","• Python 기반의 백엔드 개발 경험이 있으신 분
• Python Framework (Django / Flask 등)를 이용한 개발 경험이 있으신 분 
• go 언어 개발 경험자 
• 리눅스의 기본적인 명령어들을 사용할 수 있고, 클라우드서버에 대한 경험이 있으신 분","경력
경력 3~10년","Python
Golang
OpenStack
K8S
Flask",https://www.jumpit.co.kr/position/14524,"• 자율 출퇴근
매일 매일 편한 시간에 출근하세요(9~10) 
하루 8시간 열심히 근무하신다면 언제든지 퇴근 하셔도 괜찮아요

• 식비 지원
오케스트로는 점심 저녁 식대를 제공해드려요
매일 매일 맛있는 식사로 힐링해 보세요 

• 각종 휴가 지원 
눈치 보지 말고 자유롭게 신청하세요 (연차, 반차, 반반차 운영)
여름휴가(연차 외 최대 3일), 기념일 휴가(본인, 자녀 입학/졸업식 유급)를 제공해드려요

• 개인 장비 지급 (Mac Pro, 모니터 등)
빛나는 성과를 내는데 꼭 필요한 최고급 사양의 업무용 장비를 지원해드려요
필요한 장비, 필요한 소프트웨어는 언제든지 지원해드리니 부담 없이 요청해주세요

• 도서 구입비 지원
개인의 성장이 조직의 성장을 이끈다고 믿어요
새로이 발전하는 기술 트렌드를 익히고 발전시킬 수 있도록 교육비, 도서 구입비를 지원해드려요

• 결혼 장려금 / 출산 장려금 지원
개인의 생활과 직장이 조화를 이루도록 지원해드려요
일생에 가장 축하할 일인 결혼과 출산 장려금을 드려요 

• 자유로운 복장
개인의 개성과 스타일을 존중해요
편하게 입으시고, 눈치 보지 마세요

• 그 외
종합 건강검진, 생일 축하(선물 & 조기 퇴근), 명절 선물 등"
한류뱅크,"마감일
상시",시스템 엔지니어,devops/시스템 엔지니어,"• 1년 이상
• 응용 프로그램 구축 및 관리 (WEB/WAS, DBMS, Container)
• 보안 시스템 구축 및 관리 (Firewall, WAF, VPN, UTM 등)",• 클라우드 네트워트 환경 서비스 경험자,"경력
경력 1~10년","Oracle
AWS
VPN
Utm
Firewall",https://www.jumpit.co.kr/position/10203,"• 중식
• 여름휴가
• 최신장비
• 경조사비
• 교육비
• 도서비
• 야근X
• 주차지원"
피닉스다트,"마감일
상시",시스템 개발자,devops/시스템 엔지니어,"• 리눅스가 익숙하신 분
• 쉘 스크립트에 익숙하신 분
• C 또는 c++ 언어에 부담이 없으신 분
• 리눅스 기반 C, C++ 시스템 프로그램 경험이 5년 이상 되신 분",-,"경력
경력 5~10년","c
c++
linux
sw",https://www.jumpit.co.kr/position/15182,"• 주5일 근무제
• 4대 보험, 퇴직금, 연차휴가 등 법정 복리후생
• 경조사 지원(경조금 및 경조휴가 지급)
• 가정의달 문화 활동 지원(20만원 상품권)
• 여름 휴가비 지급(30만원)
• 기념일 선물(기프티콘 지급)
• 장기근속 포상제도(근속 포상금 및 포상휴가 지급)
• 인재추천 포상금
• 명절선물 지급
• 희망도서 구입 지원
• 넓고 안락한 사내 휴게실 이용(무료 간식/원두커피 무한 제공)
• 휴게실 다트 무료 이용
• 당사 직영매장 이용 시 직원 할인
• 임직원 주택자금 대여"
인포그랩,"마감일
상시",[인포그랩] DevOps CI/CD 파이프라인 엔지니어 (경력),devops/시스템 엔지니어,"✨ 이런 분과 함께 하고 싶습니다.
• DevOps 관련 경력, 혹은 소프트웨어 개발 경력 3년 이상
• CI/CD 자동화 파이프라인 구축 경험이 있는 분
• NodeJs, Python, Go 중 하나와 Shell Script, YAML 사용에 어려움이 없는 분
• IaC 코드 사용에 어려움이 없는 분
• Docker, Kubernetes 구성/운영 경험이 있는 분
• 새로운 기술을 익히는데 두려움이 없는 분","✨ 이런 분을 더 좋아합니다.
• 백엔드 개발 관련 경력 3년 이상 이신 분 우대
• 마이크로서비스 및 어플리케이션 모더나이제이션 프로젝트 경험 우대
• 쿠버네티스 인증 자격, AWS 및 기타 솔루션 인증 자격증 취득자 우대
• 애자일 소프트웨어 개발 프로젝트 경험자 우대
• 기술 블로그 운영, 유투브 채널 운영 경험자 우대","경력
경력 3~15년","GitLab
Kubernetes
Docker
Terraform
Prometheus
Grafana
Amazon EKS
K8S
Node.js
Python",https://www.jumpit.co.kr/position/15509,"엔지니어의 멋진 업무환경과 끊임없는 성장을 지원 합니다

💻  최근 맥북 과 32인치 혹은 27인치 모니터 2대까지 제공
🍄 학습과 실험, Dogfooding을 위한 인프라 및 클라우드 제공
📚 Udemy, O’Reilly Media, ACM Digital Library, Inflearn 등의 온라인 컨텐츠 사용
💊 비타민을 포함한 영양제, 간식, 음료, 주류 제공

[기본 복지]
• 연 2회 이내 인센티브
• 자율 출퇴근 (원격 근무 가능)
• 제한 없고, 승인 없는 휴가"
앤서스랩코리아,"마감일
상시",[Infra] System Engineer,devops/시스템 엔지니어,"• 인프라 시스템 구축 및 서비스 Application 운영 관리 경험이 있는 분
- 시스템 엔지니어 실무 경력이 3년 이상인 분
- 서버 (Linux , Windows) 구축 및 운영 경험이 3년 이상인 분
- 네트워크 보안, TCP/IP 에 대한 기본 이해가 있는 분
- 다양한 모니터링 시스템 구성 및 운영 경험 (Newrelic, Dynatrace, Grafana 등)
- 게임 서비스 관련 시스템 구성 및 라이브 경험이 있는 분
- WEB/WAS 구축 및 운영 경험이 있는 분

• 시스템 모니터링, 분석 등 서비스에 필요한 성능 관리 경험이 있는 분
- 성능 모니터링 툴 (APM) 및 서버 로그 등을 통한 서비스 상태 분석 경험이 있는 분
- 성능테스트 및 성능분석을 통한 병목구간 및 개선포인트 도출에 대한 경험이 있는 분
- 다양한 시스템 모니터링 툴 (Zabbix, Grafana, Newrelic, Dynatrace) 을 이용한 서버 리소스 관리 경험이 있는 분
- Synthetic 모니터링 툴 (Pingdom, catchpoint 등) 을 통한 성능분석 경험이 있는 분
- 로그 분석 툴 (Loggly, Datadog) 구성 및 운영 경험이 있는 분
- 시스템 가용성을 유지하는 것에 대한 책임감이 있는 분

• 클라우드 환경에서 시스템 구축 및 운영 경험이 있는 분
- AWS, AZURE, GCP 등 1개 이상의 클라우드 서비스 환경에 라이브 서비스 구축 및 운영 경험이 3년 이상인 분
- Lamda, Elastic beanstalk, Elasticache, MSK, EKS, RDS 등 다양한 클라우드 서비스 구성 및 운영 경험이 있는 분
- 다양한 데이터베이스 (MYSQL, MSSQL, Redis, Mongodb 등) 구축 및 운영 경험이 있는 분
- 가상화 아키텍처에 대한 기본 이해가 있는 분","• 게임 시스템 및 플랫폼에 대한 운영 및 이해가 있는 분
• Python, Shell script 에 능통한 분
• Docker, Kubernetes 운영 경험이 있는 분
• 동시 접속량이 많은 서비스를 위한 분산 처리 아키텍처에 대한 경험이 많은 분
• 대량 서버 구축 및 운영 경험이 있는 분
• ISMS, ISO 27001 등 보안 인증 심사 경험이 있는 분
• 영어 커뮤니케이션 가능한 분
• 야간 모니터링 경험이 있는 분","경력
경력 3~10년","Linux
Windows
Network
TCP/IP
New Relic
Dynatrace
Grafana
AWS
AZURE
GCP",https://www.jumpit.co.kr/position/13355,"[구성원분들의 삶을 든든하게 지원해드려요]
[Benefit]
• 💳Life Style에 맞추어 사용할 수 있는 복지포인트를 지원해 드려요.(연 250만원)
• 🍱 회돈회산 점심, 저녁을 일일 최대 30,000원까지 지원해 드려요.
• ☕매일 아침 조식 서비스와 스낵바 & 음료를 무제한으로 이용하실 수 있어요.
• 💌1년에 한번 오는 생일, 축하의 마음을 담아 상품권 15만원을 드려요.
• 🍖명절엔 역시 고기! 최고급 투뿔 AA++ 한우를!! 집 앞까지 배송해 드려요.
• 💻업무를 위해 필요한 최신형 장비를 지원해 드려요.
• 👨‍👧‍👧와글와글~ 조직 활성화를 위한 비용을 매월 지원해 드려요.(월 11만원 + α)
• 💑🏻일과 동료를 알아가는 시간! 워크샵 비용을 1인당 연 40만원을 지원해 드려요.
• 🤹🏻‍♂️동료들과 함께하는 슬기로운 취미 생활을 지원해 드려요.(동호회 1인, 월 최대 10만원)
• 🤼‍♀️알고보니 내 친구가 인재?! 사내 인재추천시 추천금을 최대 1,500만원 까지 지급해 드려요.
• ⏱️시간 단위 연차 제도로 자유롭게 연차를 사용해요! 남은 연차는 모두 수당으로 지급해 드려요.
• 📚성장을 위한 교육비 연 200만원을 지원해 드려요.
• 📖직무와 관련된 도서비를 무제한으로 지원해 드려요.
• 👩‍💻직무 도서 외 e-book 서비스를 지원해 드려요.(Feat. 밀리의 서재)
• 📑단체상해보험을 지원해 드려요.(본인 + 가족 1인 지원)
• 🏣매년 100만원 상당의 대학병원 검진 & 각종 예방 접종을 지원해 드려요.
 (본인 + 최대 가족 2인 검진 지원)
• 💊전문 심리 상담 서비스를 지원해 드려요.(1인, 연간 최대 5회 상담 지원)
• 🚛이사하는 날 이사 휴가를 지원해 드려요.
• 🎎인생의 기쁨과 슬픔을 함께 나누어요. 각종 경조사 비용을 지원해 드려요.
• 🚖안전한 귀가를 위해 저녁 11시 이후 퇴근 시 택시비를 전액 지원해 드려요.
• 🚗장거리 출·퇴근을 위한 주차비를 지원해 드려요.
• 🎁환영하는 마음을 가득 담아 Welcome Kit 를 지급해 드려요.
※ 각종 복리후생 제도는 구성원들의 니즈에 따라 변경될 수 있습니다.

#지원 응답이 빠른 기업 #인센티브 #유연근무제 #맛있는간식냠냠 
#맥북으로개발 #수평적 조직 #자유복장 #반바지/슬리퍼OK #도서구입비지원 #택시비지원"
디에스앤지,"마감일
상시",시스템 엔지니어 경력 채용,devops/시스템 엔지니어,• Storage Cluster 구축 유경험자,"• DNN, Weka, VAST, IBM EFSS 등 Flash Storage 구축 유경험자
• HPC 환경 구축 유경험자 (BCM 등)
• Kubernetes 등 컨테이너 환경 구축 유경험자","경력
경력 7~15년","Kubernetes
Linux
Docker
Docker Compose
Ubuntu",https://www.jumpit.co.kr/position/7950,"• 지원금/보험
　- 건강검진, 각종 경조사 지원, 문화생활비, 자녀학자금
• 급여제도
　- 퇴직연금, 상여금, 우수사원포상, 성과급, 휴일(특근)수당, 직책수당, 4대 보험
• 선물
　- 생일자 조기퇴근, 장기근속 선물
• 교육/생활
　- 우수사원시상식
• 출퇴근
　- 주택자금 융자
• 리프레시
　- 연차, 여름휴가, 경조휴가제, 산전 후 휴가, 육아휴직"
타이드스퀘어,"마감일
상시",Cloud Engineer[클라우드 엔지니어] 경력 채용,devops/시스템 엔지니어,"• 관련 경험 3년 이상
• 클라우드 인프라 환경을 구축하고 운영해보신 분(AWS)
• 클라우드 리소스에 대한 접근 제어와 권한 관리에 대한 이해가 있으신 분
• Cloudtail, Cloudwatch 등을 활용한 로그 모니터링 및 모니터링 대시보드 구축
• 새로운 기술 도입의 관심이 높고 적극적인 자세를 갖추신 분
• 여러 동료들과 적극적으로 소통하며 협업 경험이 있으신 분
• 작업 효울화 자동화를 위한 scripts 개발 작성 가능하신 분 (bash, ansible)
• Apache/Nginx, Tomcat/Jboss/Widefly등 WEB, WAS 미들웨어 운영 경험","• On-Premise to 클라우드 마이그레이션 경험
• 컨테이너(K8S), 서버리스, MSA 설계 구축 운영 경험
• 클라우드 비용 절감 위한 최적화 경험자
• 클라우드 기반 AutoScale 등 활용 대규목 트래픽 대응 경험","경력
경력 3~10년","AWS
Apache Tomcat
JBoss
Ansible
NGINX",https://www.jumpit.co.kr/position/13644,"[개발문화]
• 개발자들간에 원할한 소통과 정보공유를 위한 Dev Weekly 미팅
• 서로의 눈높이를 맞추기 위한 페어 프로그래밍
• 모든 구성원들의 성장을 위한 회고 세미나
• 그외 좋은 개발 문화가 있다면 구성원들의 동의를 얻어 적극 도입


[최고의 업무환경 제공]
• 편리한 위치, 을지로입구역 1분 거리
• 시차출퇴근제 (8시 ~ 10시 사이 시차 출근)
• 업무에 필요한 도서 및 강의 지원
• 최고급 사양의 개발용 PC (M1 Pro 맥북, 11세대 i5 윈도우 데스크탑 제공)
• 32인치 4K 듀얼 모니터


[혜택 및 복지]
• 업계 상위 수준 대우
• 중식대 일부 지원
• 심야 교통비, 석식대 지원
• 각종 경조사비 지원
• 장기근속 리프레쉬 휴가 지급(3년차, 6년차, 10년차)
• 설, 추석 명절 생일 축하 선물 지급
• 잔여연차수당, 퇴직금 별도 지급 등 법정의무사항 준수
• 학자금 지원(단, 본인 대상 학위이자 회사가 인정하는 과정에 한함"
케이티넥스알,"마감일
상시",[KT NexR] Cloud Data Platform Engineer,devops/시스템 엔지니어,"• 경력 : 관련 경력 3년 ~
• Linux/UNIX 시스템에 대한 지식
• 소프트웨어의 고가용성, 내고장성 구성 경험
• Database 활용 경험
• Docker 등 Container 환경에 대한 지식
• 오픈소스 도입 / 사용 경험","• Kubernetes 구축/운영 경험 보유
• Linux container 기반의 시스템 구축/ 운영 경험 보유
• Overlay network 구축/운영 경험 보유
• Ceph 분산 스토리지 구축/ 운영 경험 보유
• IT 인프라 모니터링에 대한 전문 지식 보유
• 오픈소스 contribution 또는 issue reporting 경험
• Kubernetes operator 구축/운영 경험 보유
• Data Engineering 경험 보유
• Hadoop, Spark등 Bigdata eco 구축/운영 경험 보유","경력
경력 3~15년","Hadoop
Linux
Kubernetes
Docker
Spark",https://www.jumpit.co.kr/position/12940,"[더 몰입할 수 있게]
• 근무 장소와 시간을 자율적으로 선택하는 하이브리드 근무제 (재택+사무실 근무)
• 시간 단위로 사용할 수 있는 연차휴가
• 간식 & 캡슐 커피 & 각종 음료 무제한 제공
• 잠실역 초인접! 전망까지 좋은 쾌적한 오피스
• 최신 IT 장비 지급 (모션 데스크, 듀얼모니터)

[안정된 생활과 성장을 위해]
• 금요일 2시간 단축 퇴근
• 실손의료보험 지원
• 독감예방접종 (연 1회) 지원
• 통신비 지원(kt 가입자 한정)
• 전자도서 및 제한 없는 도서 구입비 지원
• 직무 관련 교육비 지원 
• 사내 스터디 활동 지원
• 심리상담 지원
• 선택적 복리후생비 지원
• 급식,통근보조비 지원
• 야근 교통비 지원 

[삶의 중요한 순간을 함께]
• 입사를 축하해요! 나만을 위한 웰컴키트 제공
• 다양한 경조사 지원
• 입사 1주년 기념휴가
• 장기근속자 포상
• 연차저축제도 운영"
티벨,"마감일
상시",테스트 자동화 개발자,devops/시스템 엔지니어,"• 중소규모 프로젝트 리딩 경험자
• 테스트 자동화 구축 경험자","• CI/CD환경구축 경험자
• 개발 환경 도구 활용 경험자
• Atlassian 도구 경험자","경력
경력 5~10년","Java
JavaScript
Linux
DB
Postman",https://www.jumpit.co.kr/position/13690,"• 생일선물
• 사내동호회비 지원
• 교통비 지원(장거리)
• 외근비 지원
• 카카오택시 지원
• SW관련자격증 응시료 지원
• 장기 근속자 포상
• 기타 경조사"
가야데이터,"마감일
상시",시스템 엔지니어,devops/시스템 엔지니어,"• 신입/경력 (1~5년)
• 대졸 (2년제) 이상","• 관련 학과 전공자
• 해당직무 인턴경력
• 운전 가능자
• 인근 거주자","경력
경력 1~5년","vmware
VMware vSphere
Windows Server
Linux
Oracle
WordPress
Microsoft SQL Server",https://www.jumpit.co.kr/position/4231,"• 업무 활동비 지급, 상여금, 명절선물, 워크샵, 휴게실, 통신비 지급, 점심식대 추가지원 외"
에스티씨랩,"마감일
상시",Solution Engineering,devops/시스템 엔지니어,"• 경력: **2년 이상**
• 웹 애플리케이션에 대해 이해가 있으신 분
• html, javascript 언어 사용 가능한 분
• linux 설치 및 운영 가능한 분
• 원활한 대인 관계 및 커뮤니케이션 능력을 보유한 분
• IT 트렌드에 따른 기술 습득에 거부감이 없으신 분","• Cloud 관련 기술 경험이 있으신 분
• 웹 애플리케이션 개발, 운영 경험이 있으신 분
• Docker, Kubernetes 사용이 가능한 분
• 컴퓨터 공학 등 IT 관련 전공자
• Cloud, Kubernetes 관련 자격증 보유자","경력
경력 2~15년","Docker
Kubernetes
Linux",https://www.jumpit.co.kr/position/12872,"• 사옥 근무, 언주역 3번 출구 도보 5분 역세권
• 캡슐커피 및 음료, 우유 등 무제한 스낵바 운영
• 업무용 최신장비 지급(맥북, LG 그램)
• 자율시차출퇴근 8시~10시 운영
• 눈치보지 않고 사용할 수 있는 휴가제도
• 여유로운 1시간 30분 점심시간
• 매월 셋째주 금요일은 SurfDive데이(9시 출근, 1시 퇴근)
• 업무 관련 자기계발 무제한 지원
• 여가 활동 즐길 수 있도록 루프탑 클래스 지원
• 한 달에 한번 찾아오는 로또의 행운! 월간 나눔복 사내 로또

등등등 지원자님과 함께 나눌 다양한 문화, 복지"
