,회사명,직무명,채용공고명,주요업무,자격요건,우대사항,기술스택
652,아이알큐더스,웹 개발자,웹 서비스 개발자(KudosWorks 서비스 운영 및 고도화),"[주요업무]
• B2B
 - 기업 Investor Relationship Management를 위한 Saas 서비스인 Kudos Works 유지/보수
 - Kudos Works와 연계된 다양한 B2B 모듈 및 솔루션 개발
 - Kudos Works 고도화 사업 준비

[전형절차]
• 서류 전형  1차 인터뷰(필기 면접 포함)  2차 인터뷰  처우 협의  입사
 ※ 필기 면접의 경우 1~2문제의 간단한 서술형 문제이며, 1차 인터뷰 전 약 20분 가량 진행 예정
 ※ 1차 인터뷰 내 pseudo 코드 작성 테스트 포함","• Java Spring Framework를 이용한 서비스 개발 경험이 있으신 분
• As-is 시스템 유지보수를 위한 Javascript, Jquery 개발 경험이 있으신 분
• To-be 시스템 고도화를 위한 Vue3 Composition API 개발 경험이 있으신 분 
• HTML/CSS에 대해 이해하고 이를 활용 가능하신 분
• RDBMS 개발 경험을 보유하신 분
• 다양한 Open API를 활용하여 서비스 개발을 해보신 분
• 기존 레거시 코드에 대한 리팩토링 경험이 있으신 분","이런분과 함께 일하고자 합니다
• 다양한 문제 해결을 위한 알고리즘 개발을 좋아하시는 분
• 최신 기술 동향에 관심을 갖고 계속해서 자기 계발을 하시는 분
• 팀에 잘 적응하며 회의나 협업에 있어서 편하게 의견을 말할 수 있고 타인의 의견에 귀 기울일 줄 아는 분
• 맡은 업무에 대해 책임감을 갖고 적극적으로 진행할 수 있는 분
• 스스로 진행했던 일에 대해 자신감을 갖고 팀원들에게 공유하는 것을 자연스럽게 생각할 수 있는 분
• 조직적 성장을 위한 사내 다양한 개발 문화(도서 리뷰, 기술 토론회, 기술 멘토/멘티 등)에 적극적으로 관심이 있으신 분","Git
VueJS
CSS
HTML
Java
JavaScript
jQuery
SVN
Eclipse
Spring Framework
MSSQL
Visual Studio Code"
655,어라운더블,웹 개발자,개발 팀장 (R&D Team Leader),"• 사업 연계 개발 로드맵 수립
• 실무 개발 포함, 코드리뷰 및 개발 총괄
• 개발자 채용, 관리, 개발 문화 확립
• 리더쉽의 일원으로 사업 방향 의사결정에 참여","• JavaScrpit Spring Framework 기반 백엔드 설계 경험자
• AWS 경험이 있으신 분
• 기업내 IT 조직 및 스타트업에서 Team lead 이상을 맡아보신 분
• 웹/앱 서비스 런칭 및 개발 경험이 있으신 분
• 기술 관련, 기획자/디자이너 등 비개발자와의 원활한 소통이 가능하신 분
• 자신의 뚜렷한 개발 철학을 가지신 분
• Lean한 목표 설정 및 로드맵 수립 경험을 가지신 분
• 풀스택 개발 커리어를 가지신 분","• E-Commerce/Commerce 기반의 플랫폼 운영 및 개발 경험자
• 스타트업 프로젝트 참여 경험 있으신 분","Confluence
Git
Github
JIRA
MySQL
React
Java
JavaScript
AWS
REST
jQuery
HTML5
CSS3
RDBMS
Spring Framework
ORM
JPA
프론트엔드 개발자
백엔드 개발
Spring Boot"
657,피플앤드테크놀러지,웹 개발자,AI 제품 개발자,"• AI 카메라 연계
  - AI 카메라의 영상과 이벤트를 수신
  - AI 카메라의 설정 및 제어

• 영상 저장 및 관리
  - 다수의 카메라의 영상을 실시간 저장하는 시스템 구축
  - 저장된 영상의 관리

•  영상의 실시간 스트리밍
  - 다수 채널의 CCTV 영상의 실시간 및 VOD 스트리밍

•  통합 관제 시스템 개발 (웹 기반)
  - 다수 채널의 영상을 동시에 플레이 및 관제하는 시스템 개발
  - AI 카메라에서 인식되는 이벤트 조회 및 알람
  - CCTV 영상의 플레이어 개발","컴퓨터 공학 관련을 전공하고 IT관련 개발 경험이나 지식이 필수 조건입니다. 

■ 필수조건
• 웹 기반 서버 모듈 개발 관련 지식 보유 (필수)
• 웹 기반 서버 개발을 위한 하나 이상의 언어 사용 가능자(Java, nodeJs 등)
• RDB, NoSQL DB 관련 1개 이상 연동개발이 가능한 자 
• RestAPI 개발이 가능한 자
• 웹의 화면 개발 관련 지식 보유 (옵션)
• HTML5, JavaScript, React 등 웹 화면 개발관련 지식이나 개발 경험이 있는 자

■ 공통역량
• 일반 업무 능력
• 원활한 커뮤니케이션 기술
• 문제 해결 능력
• 배우고 노력하는 열정적인 태도 및 자기 주도적인 태도","다음과 같은 경험이나 기술이 있는 분들은 채용 시 우대합니다.
 • NVR, VMS 등 동영상의 저장 및 관리 시스템의 개발 및 연계 경험 
 • 동영상 스트리밍 서버 구축 및 트랜스코딩 관련 구축/개발 경험 및 지식 보유
 • 웹 기반 동영상 플레이어 개발 경험 및 지식 보유",
667,씨알에스큐브(CRScube),웹 개발자,웹 개발자(산업기능요원/전문연구요원 가능),"1. 주요업무
 • 웹/앱서비스 및 플랫폼 개발
 • 운용중인 솔루션의 유지보수

2. 전형절차
 • 서류전형 -＞ 코딩test -＞ 면접전형(1차) -＞ 채용검진/입사","아래 경험 중 한가지 이상의 경험을 보유하신 분
• Java & Spring framework(Spring boot) 백엔드 개발/운영 경험
• HTML(5), CSS, HTTP, RESTful API 클라이언트 개발
• Javascript MV 기반 웹 개발 운영 경험

병역특례 지원자의 경우, 편입요건을 갖추신 분
• 산업기능요원, 전문연구요원 신규편입 및 전직 가능
(단, 전직의 경우 필요 시 동의 후 reference check 진행)","• 관련 경험을 3년이상 보유하신 분
• 단위테스트, UI 테스트 자동화 및 배포 자동화 경험
• 웹사이트 성능 측정 및 최적화 경험
• database에 대한 이해(RDBMS)
• 컴퓨터 공학 및 전산학 전공자","HTML
JavaScript
Python
AWS
API
Spring Framework"
675,즐거운,웹 개발자,JAVA 기반 O2O 서비스 및 솔루션 개발/운영,"• 중계 플랫폼 개발 및 운영
• O2O 기반 서비스 개발 및 운영
• 웹 서비스 개발 및 운영","• Spring Framework 및 Spring Boot 개발 가능자
• DB(oracle, mysql) 개발 가능자","• 커머스 또는 O2O 서비스 플랫폼 개발 경험자
• Javascript 프레임워크 경험자
• 모바일쿠폰에 대한 이해도가 높거나 배우고자 하는 열정이 있으신 분
• 동종업계 경력자",
683,파킹클라우드,웹 개발자,자바 백엔드 개발(클라우드팀),"주차 서비스 운영 및 개발(IPMS, External, Members 등)
백오피스 서비스 개발(CloudLPR, IMIS, CS, CarInfo, SCM, OpenApi)
차세대 서비스 개발(주차 관제, 전기차 충전, 정산 등)

*면접 이후 업무 배정 예정","- 웹 어플리케이션 개발 및 운영
- Rest API에 대한 이해 및 개발 가능
- RDBMS, NoSQL에 대한 이해 및 개발 가능
- 팀 워크 및 원활한 커뮤니케이션 능력
- Java(spring boot) 소스코드 이해 및 개발 가능

[공통사항]
-근무형태 : 정규직(수습기간 3개월)
-근무요일 : 주 5일(월~금) 
-근무지 : 서울시 구로구 구로동 188-25 구로지밸리비즈플라자 14층
-급여 : 면접 후 결정","- 전기차충전운영시스템 개발 경력자 우대
- Fullstack 개발이 가능하신 분
- 객체지향 개발 및 테스트 코드 작성이 능숙하신 분
- MSA 아키텍처 기반의 시스템 개발 경험자
- JPA, Hibernate, JOOQ 등 ORM 사용과 도메인 모델링 경험자
- PHP 개발이 가능하신 분
- 신기술 트렌드에 관심이 높으신 분
- 새로운 기술 습득에 거리낌이 없고 학습 의지가 높으신 분","Java
AWS
VM웨어
가상화
Tomcat
Nginx
RAID"
686,페르미,웹 개발자,웹 서버 개발자 (Java/Spring Framework),"• WebRTC 기술을 기반으로 영상상담 웹 서비스 개발 
• 서버 구조/DB 설계","• Java & Spring Framework 기반 웹서비스 개발 경험
• MariaDB, Oracle 또는 유사한 RDBMS 경험","• 컴퓨터/정보통신 관련학과 전공자
• RTP,RTSP등 실시간 미디어 프로토콜 유경험자
• Kurento, Janus 등 미디어 서버 개발 경험자
• VoIP/SIP 관련 업무 유경험자","Oracle
Java
VoIP
RDBMS
Spring Framework
SIP
RTP
WebRTC"
692,디지털메딕,웹 개발자,Frontend / Backend 서버 개발자,"1. 주요업무

[ WEB Frontend 개발자 ]

 • Admin 및 모니터링 화면 개발

 • 통계 및 검사 결과 등 Report 화면 개발

 • Mobile Web UI/UX 개발


[ WEB Backend 개발자 ]

 • 앱/웹 서비스 연동 서버 개발

 • 비즈니스 요구기능에 따른 RESTful API 개발

 • 데이터 베이스 모델링 및 설계

 • 서비스 서버 구축 및 유지보수


2. 전형절차

 1차 서류심사 -＞ 1차 인터뷰  -＞ 2차 인터뷰 -＞ 최종합격

※ 1차 기술 인터뷰 시, 필기 테스트 포함

※ 최종 합격 시, 수습 3개월 후 전환 심사  (수습기간 내 급여 100%지급)","[ WEB Frontend 개발자 ]

 • Web Frontend 개발 경험자

 • HTML, CSS, javascript에 대한 이해 및 활용

 • 소스관리 및 협업 툴 사용 경험자 


[ WEB Backend 개발자 ]

 • Spring 또는 Spring Boot 유경험자

 • RESTful API를 이용한 서비스 구현 가능자

 • 비즈니스 요구사항에 따른 MySQL 등 DBMS 설계 가능자","• 컴퓨터/시스템공학 전공자

 • 정보처리기사, 정보처리산업기사

 • 공모전 입상자, 해당직무 인턴경력, 해당직무 근무경험","Github
MySQL
React
Java
JavaScript
Spring Framework
JPA"
729,니어스랩,웹 개발자,웹 서비스 기획자 (PM),"* 해당 포지션은 포트폴리오 제출이 필수입니다.

• B2B web service 기획, 운영
• 국내외 유관 서비스/제품 조사 및 벤치마킹
• 제품 방향성 수립 및 개선
• 요구사항 수집 분석 및 기능 개선 관련 기획
• 서비스 화면설계, 스토리보드 구성 및 문서화","• Web service를 기획, 제작해보신 분(신입 가능)
• 서비스 도메인을 이해하기 위한 열정이 있으신 분
• 서비스 화면 설계, 스토리보드와 같은 서비스 기획 문서를 만드실 수 있는 분
• 서비스 분석 및 개선 과정에 대한 이해가 있으신 분
• 디자이너, 개발, 영업팀과의 커뮤니케이션이 능통하신 분","• SaaS 에 대한 이해가 깊으신 분
• B2B 기획에 대한 이해가 있으신 분
• 협업 Tool(jira, confluence, slack, figma)을 잘 사용하시는 분
• 콘텐츠 정보를 도식화 가능하신 분
• SQL, 통계 활용하여 데이터 분석을 통해 의사결정이 가능하신 분
• 영어 커뮤니케이션에 문제가 없으신 분",
744,중앙일보,웹 개발자,UI개발,"• 중앙일보 웹 서비스 프론트 개발 및 유지보수
• 중앙일보 사업관련 서비스 프론트 개발 및 유지보수","• HTML, CSS 등 W3C 웹 표준 이해와 반응형 웹 퍼블리싱/UI개발 경험
• Javascript / jQuery를 이용한 스크립트 개발 지식 및 실무 경험
• REST API를 이용한 서버 연동 개발 경험
• 웹표준/웹접근성/반응형 디자인을 고려한 UI개발 경험
• 인터렉티브 웹서비스 개발 경험","• Git / Confluence, Jira 등 사용 경험
• React, Angular, Vue 등 SPA 프레임워크 경험
• 기획/디자인/운영 등 다양한 직군과의 협업 능력",
745,중앙일보,웹 개발자,웹개발,"• 중앙일보 웹 서비스, 백오피스 개발 및 유지보수
• 신규 서비스 개발 및 유지 보수","• JAVA Spring Framework 기반 개발 실무경험
• MSSQL 프로시저 개발 지식 및 실무경험 보유
• Javascript, jQuery에 대한 기본 지식
• 일반 유저 대상 서비스 개발 및 운영 경험 보유","• wildfly, NginX, Jenkins, Scouter, Docker 등 운영 경험
• Git / Confluence, Jira 등 사용 경험
• Vue.js / React 및 데이터시각화 관련 프로젝트 경험
• 결제관련 API, 대사, 정산 등 빌링 시스템 개발/운영 경험
• 기획/디자인/운영 등 다양한 직군과의 협업 능력",
768,빅크(BIGC),웹 개발자,[R&D] 백엔드 엔지니어,"- 크리에이터 플랫폼 “빅크” 웹/앱 운영기능 고도화 및 신규 개발을 담당합니다.
- 크리에이터 플랫폼 “빅크” 웹/앱 시스템 고도화 및 유지 보수를 담당합니다.
- 다양한 기술적 이슈를 제기하고 문제를 해결합니다.
- 플랫폼 영역의 생산성 향상 및 신규 기능을 개발합니다.
- PO, 프론트, 앱, 서버, 마케팅, 데이터 팀등 다양한 직무 담당자와의 커뮤니케이션하고 협업합니다.","- php 개발 경험이 있으신 분
- MVC framework 기반의 웹 어플리케이션 또는 API. 개발경험이 있으신 분
- RDBMS, Front-end 등의 인접 기술에 대한 이해가 있으신 분
- Git 버전 관리 시스템 사용 경험
- 다양한 문제를 적극적으로 드러내고, 주도적으로 해결해본 경험이 있으신 분
- 사업, 디자인, 개발, 운영 등 다양한 직군과 원활한 커뮤니케이션 능력이 있으신 분


**기술 스텍**

• 언어 : php 8.x, Laravel, Vue.js(V3)
• 데이터베이스 : MySQL, ElasticSearch
• 형상관리 : Git, Github
• 클라우드 : AWS
• IDE : PHPStorm","- e-commerce 플랫폼 제작, 운영 경험이 있으신 분
- 백엔드 개발 경험이 3년 이상이신 분
- 테스트 코드 작성 / 리팩토링 기법에 대한 이해가 있으신 분
- 대규모 서비스 트래픽 경험이 있으신 분
- Vue.Js 개발 경험
- 기본적인 Linux 사용 능력
- 자기 주도적인 개발(라이브러리 및 오픈소스 기여 경험)을 해본 경험이 있으신 분
- 테스트 자동화 및 테스트 코드 작성 경험이 있으신 분
- 애자일 스크럼 경험이 있으신 분


**이런 분과 함께 하고 싶습니다.**

- 나와 동료의 성장을 위해 함께 전문 분야를 함께 학습하고 공유할 분
- 제품 퀄리티에 대한 기준이 높고, 최고의 제품에 대한 열망이 높은 분
- 개발 실무 뿐 아니라 전반적인 산업에 대한 관심, 회사에 대한 버드뷰를 가지신 분
- 사용자의 욕구와 패턴을 살피고, 이를 설계하는 개발 리서치가 몸에 밴 분",
779,엔드림,웹 개발자,웹 서버/백엔드(Back-End) 개발자,"• 사내 인트라넷
• 모바일 게임 백오피스 개발
• 위치기반 SNS 개발","• C# 개발 경험이 있거나, 개발이 가능 하신분 (필수)
• .NET MVC 개발 경험이 있으신 분
• MVC 패턴에 대하여 이해하고 계신 분 
• HTML5, CSS, javascript 에 대한 이해가 있는 분
• 외부 Library나 API 사용에 능숙 하신 분","• Java, node.js 개발 경험이 있으신 분
• 아키텍쳐 설계에 능숙 하신 분
• HTTP 기반의 대용량 웹 관련 서비스에 대한 경험이 있으신 분
• 코드 품질 향상을 위한 분석 및 리팩토링 경험이 있으신 분
• 업무 커뮤니케이션이 능숙 하신 분","MySQL
C#
CSS
Java
JavaScript
Node.js
HTTP
HTML5
MSSQL"
827,마드라스체크,웹 개발자,엔터프라이즈 개발자,"• 플로우 시스템 신규 개발 및 유지운영
• 플로우 표준 API 개발
• 플로우와 고객사 내부 시스템 연동
• 플로우 고객사 기술/개발/운영 이슈 지원


[채용절차]
서류평가 → 개발과제 제출 → 실무인터뷰 → 컬쳐인터뷰 → 최종합격

•  신입/경력 여부와 상관없이 4개월의 수습기간을 가진 후 평가에 의해 정직원 채용여부가 결정됩니다.
•  수습기간 중 급여의 100%가 지급됩니다. 
•  입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
•  합격자를 대상으로 ""필수제출 정보""에 대한 개별안내가 이루어질 예정입니다.
•  국가유공자 및 장애인 등 취업보호대상자는 관계법령에 따라 우대합니다.
•  국가유공자 가산점 부여를 받기 위해서는 ‘취업지원 대상자 증명서’를 제출해야 합니다.
•  해외 국적자의 경우 한국어 커뮤니케이션이 원활하며 체류 자격 상 정규직 입사가 가능한 분을 대상으로 합니다.","• Java / javascript / jQuery / Node.js / RDB를 이용한 개발 경험이 있는 분
• Cloud Service (AWS) 서비스를 이용한 개발 경험이 있는 분
• 리눅스를 이용한 개발 경험이 있는 분

[공통] 
• 협업툴에 대한 관심이 있으신 분 (Slack, Jira, Trello, Notion 등)
• 고객사에 직접 나가서 지원하는데 두려움이 없는 분
• 고객 및 내부 직원들과의 소통에 문제가 없는 분
• 자율적 분위기 속에서 책임감을 가지고 업무에 임하는 분

★ 공통질문 (자기소개서에 반드시 포함해주세요!!!)
1. 마드라스체크에서 어떤 일을 하고 싶으신가요?
2. 회사의 성장과 개인의 성장 중 어디에 중점을 두시나요?
3. 인생에서 가장 즐거웠던 일 또는 보람있었던 일은 무엇인가요?","• 관련분야 인턴 및 경력이 있으신 분
• 컴퓨터 관련학과 전공자
• RESTful API를 통한 연동 경험
• SI 개발 경험 우대
• 타인의 의견을 잘 수렴하고, 자신의 의견도 잘 표출하실 수 있는 분
• Web, WAS(Tomcat) 등 인프라에 관심이 많은 분
• 최신 개발 트렌드에 관심이 있는 분
• Full-stack 개발자를 지향하시는 분",QA 엔지니어링
833,이랜드이노플,웹 개발자,이랜드몰 JAVA 개발자(정산 파트),"• 이랜드몰(e-commerce 플랫폼) 서비스 백엔드 개발 및 운영(정산 파트)
• Restful 기반의 서비스 API 설계/구현 및 고도화","• Spring Framework (Spring Boot)
• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험
• 다양한 Database(PostgreSQL, Redis, ElasticSearch 등)에 대한 이해","• 이커머스 개발 경험
• AWS/GCP등 클라우드 경험
• 고성능, 대용량 시스템 개발 및 운영 경험이 있는 분
• 서비스 개선과 개발에 열정적이고 적극적이신 분
• 웹 Frontend 개발(html, css, js ...) 기초 지식 필수


[기술스택] 
- java, spring boot


[채용 프로세스]
• 서류전형 - 코딩테스트  -  1차 인터뷰 - 2차 인터뷰 - 처우협의 - 채용검진 - 입사
 - 채용 절차는 변경될 수 있습니다.
 - 인터뷰는 비대면으로 진행됩니다.
 - 포트폴리오 제출 시,10MB 용량을 초과하는 파일은 링크로 대체해주세요.


[입사 유의 사항]
• 입사 후 3개월의 수습 기간이 있습니다. 
  (*급여 및 복지는 동일하게 적용됩니다.)
• 입사지원 서류에 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.",
834,이랜드이노플,웹 개발자,이랜드몰 JAVA (프레임워크),"• 이랜드몰(e-commerce 플랫폼) 서비스 백엔드 개발 및 운영
• Restful 기반의 서비스 API 설계/구현 및 고도화","• Spring framework (SpringBoot) 
• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험
• 다양한 Database(PostgreSQL, Redis, ElasticSearch 등)에 대한 이해
• Git 사용 협업 경험","• 이커머스 개발 경험
• AWS/GCP등 클라우드 경험
• 고성능, 대용량 시스템 개발 및 운영 경험이 있는 분
• 서비스 개선과 개발에 열정적이고 적극적이신 분
• 웹 Frontend 개발(html, css, js ...) 기초 지식 필수

[기술스택] 
- java, spring boot


[채용 프로세스]
• 서류전형 - 코딩테스트  -  1차 인터뷰 - 2차 인터뷰 - 처우협의 - 채용검진 - 입사
 - 채용 절차는 변경될 수 있습니다.
 - 인터뷰는 비대면으로 진행됩니다.
 - 포트폴리오 제출 시,10MB 용량을 초과하는 파일은 링크로 대체해주세요.


[입사 유의 사항]
• 입사 후 3개월의 수습 기간이 있습니다. 
  (*급여 및 복지는 동일하게 적용됩니다.)
• 입사지원 서류에 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.",
835,이랜드이노플,웹 개발자,이랜드몰 JAVA 개발자(주문 파트),"• 이랜드몰(e-commerce 플랫폼) 서비스 백엔드 개발 및 운영(주문파트)
• Restful 기반의 서비스 API 설계/구현 및 고도화","• Spring Framework (Spring Boot)
• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험
• 다양한 Database(PostgreSQL, Redis, ElasticSearch 등)에 대한 이해","• 이커머스 개발 경험
• AWS/GCP등 클라우드 경험
• 고성능, 대용량 시스템 개발 및 운영 경험이 있는 분
• 서비스 개선과 개발에 열정적이고 적극적이신 분
• 웹 Frontend 개발(html, css, js ...) 기초 지식 필수


[기술스택] 
- java, spring boot


[채용 프로세스]
• 서류전형 - 코딩테스트  -  1차 인터뷰 - 2차 인터뷰 - 처우협의 - 채용검진 - 입사
 - 채용 절차는 변경될 수 있습니다.
 - 인터뷰는 비대면으로 진행됩니다.
 - 포트폴리오 제출 시,10MB 용량을 초과하는 파일은 링크로 대체해주세요.


[입사 유의 사항]
• 입사 후 3개월의 수습 기간이 있습니다. 
  (*급여 및 복지는 동일하게 적용됩니다.)
• 입사지원 서류에 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.",
836,이랜드이노플,웹 개발자,"이랜드몰 JAVA (전시, 상품)","• 이랜드몰(e-commerce 플랫폼) 서비스 백엔드 개발 및 운영
• Restful 기반의 서비스 API 설계/구현 및 고도화","• Spring Framework (Spring Boot)
• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험
• 다양한 Database(PostgreSQL, Redis, ElasticSearch 등)에 대한 이해","• 이커머스 개발 경험
• AWS/GCP등 클라우드 경험
• 고성능, 대용량 시스템 개발 및 운영 경험이 있는 분
• 서비스 개선과 개발에 열정적이고 적극적이신 분
• 웹 Frontend 개발(html, css, js ...) 기초 지식 필수


[기술스택] 
- java, spring boot


[채용 프로세스]
• 서류전형 - 코딩테스트  -  1차 인터뷰 - 2차 인터뷰 - 처우협의 - 채용검진 - 입사
 - 채용 절차는 변경될 수 있습니다.
 - 인터뷰는 비대면으로 진행됩니다.
 - 포트폴리오 제출 시,10MB 용량을 초과하는 파일은 링크로 대체해주세요.


[입사 유의 사항]
• 입사 후 3개월의 수습 기간이 있습니다. 
  (*급여 및 복지는 동일하게 적용됩니다.)
• 입사지원 서류에 허위기재 사실이 발견될 경우, 입사가 취소될 수 있습니다.",
844,플래티어,웹 개발자,이커머스 플랫폼 개발,"1) UI개발 : Java , Javascript , JSP 등
2) 사용DB : Oracle , mySQL(Aurora), NoSQL(DynamoDB) 등
3) Framework : Vue.js , Spring, jquery, nexacro platform 등
4) WAS : Web-Spere, Web-logic, JBOSS, Tomcat 등
5) 사용협업툴 : Atlassian Jira 및 Confluence , Git-hub등
6) 기타 : AWS기반의 MSA, Rest-API, swagger, Post-doc , SonaQube(PMD) 등","1) Front-End, Back-end 등 Full-stack developer
2) Java(객체지향 프로그램밍), Servlet/Jsp/HTML/Javascript(웹 프로그래밍) 가능자
3) 유통분야 개발 경험자
4) 국내 근무 및 해외출장에 제한이 없으신 분","1) 이커머스 경험자
2) 전산학/컴퓨터공학/이공계열 전공자
3) 자격증 소지자(정보처리기사, 소프트웨어기술경력증 등)","BitBucket
Git
JIRA
Azure
AWS
DevOps
ITIL
Kubernetes"
857,머니투데이,웹 개발자,Server Developer(Web/PHP),"• 웹(PC/모바일) 서비스 개발 - 뉴스 및 새로운 형태의 컨텐츠 서비스
• 기사입력기 및 CMS 등 유지보수 및 신규 개발
• 웹서비스 유지보수","• Web 어플리케이션 개발 가능자
• HTML / CSS / JAVASCRIPT 활용 능력
• RESTFul API를 이용한 백엔드 연동 개발 경험
• SQL/DBMS에 대한 이해
• 개발에 대한 본인의 참여도가 포함된 포트폴리오","• 웹 표준 / 웹 접근성에 대한 이해
• 협업툴 경험자 (JIRA/CONFLUENCE/GIT/MOQUPS)
• 기본적인 LINUX 명령 사용 능력
• 기본적인 네트워크 구조 이해
• 개발환경에 필요한 미들웨어 설치 능력
• 원활한 문서 작업",
862,오케스트로,웹 개발자,Full Stack Developer (Cloud Project),"• Cloud, Openstack, Vmware, K8s, DevOps 관련 프로젝트 및 유지보수 수행","• 웹 기반 개발 경험이 있으신 분
• Front-end(Vue.js, JavaScript) 활용 가능하신 분
• Back-end(Java, SpringBoot) 활용 가능하신 분  
• 풀스택(Full-stack) 개발 경험이 있으신 분
• Node.js (Javascript, Typescript)를 이용한 웹서비스 개발 경험이 있으신 분
• 웹서비스의 일반적인 아키텍쳐에 대한 이해 및 RESTful API 설계 역량이 있으신 분","• Vue.js 활용 가능하신 분 
• Restful API에 대한 개념을 이해하고 있거나 경험이 있으신 분
• Kubernetes를 활용한 서비스 개발/운영 경험을 보유하신 분
• CI/CD를 통한 테스트 및 자동화 경험을 보유하신 분
• DevOps 서비스 경험을 보유하신 분
• 오픈소스 활용에 능숙하신 분 
• 책임감이 투철하고 배우려는 열정을 보유하신 분
• 유연한 커뮤니케이션 능력을 보유하신 분",Python
863,오케스트로,웹 개발자,Full Stack Developer (System Integration),"• 클라우드 관리 시스템 통합 구축 파견 업무 수행
• 클라우드 플랫폼 솔루션 사업 적용 및 응용 개발","• Java/Spring Framework/Spring Boot를 사용한 개발 경험 및 지식 보유하신 분
• Vue.js/React.js를 사용한 개발 경험 및 지식 보유하신 분
• Git 협업 도구 사용 경험 및 지식 보유하신 분","• 프라이빗/퍼블릭 클라우드에 대한 경험 및 이해도가 있으신 분
• 업무 설계 경험이 있으신 분",Python
864,오케스트로,웹 개발자,Cloud Engineer (Openstack),"• OpenStack 구축 및 장애 대응
• IaC를 통한 OpenStack 자동화 개발
• Private Cloud 인프라 설계 진행 
• 오픈소스를이용한 기술 활용과 아키텍처 정의 
• IaC를 통한 운영자동화 개발","• 클라우드에 관심이 많으신 분
• 리눅스 서버를 다뤄보신 분 
• 다양한 오픈소스 활용 및 관심이 많으신 분
• Cloud 인프라 관련 하드웨어 기술을 접해보신 분
• 함께 성장하고 배우는 것에 가치를 두는 자세를 가지신 분","• openstack을 설치 활용 해보신 분
• 클라우드 자격증을 보유 하신 분
• cloud 관련 기술 이해 및 경험이 있으신 분(private cloud, Hybrid Cloud,Public Cloud)
• Terraform, Ansible 등의 IaC 관련 툴 사용 경험이 있으신 분",Python
865,오케스트로,웹 개발자,Cloud Engineer (Kubernetes),"• Kubernetes 구축 및 장애 대응
• IaC를 통한 kuberbetes 자동화 배포 진행
• Private cloud / public cloud 연계 설계 진행  
• DevOps pipe line 설계 
• Service catalog 구축
• Multi Cluster 구성 관리
• 오픈소스를이용한 기술 활용과 아키텍처 정의
• IaC를 통한 운영자동화 개발","• 클라우드에 관심이 많으신 분
• 리눅스 서버를 다뤄보신 분
• 다양한 오픈소스 활용 및 관심이 많으신 분
• Cloud 인프라 관련 하드웨어 기술을 접해보신 분
• 함께 성장하고 배우는 것에 가치를 두는 자세를 가지신 분","• kubernetes 설치 활용 해보신 분
• 클라우드 자격증을 보유 하신 분
• cloud 관련 기술 이해 및 경험이 있으신 분(private cloud, Hybrid Cloud,Public Cloud)
• Terraform, Ansible 등의 IaC 관련 툴 사용 경험이 있으신 분
• DevOps에 대한 이해가 있으신 분",Python
870,오케스트로,웹 개발자,Full Stack Developer (대전),"• 멀티 클라우드 통합관리 플랫폼 - CMP 개발
(제품 아키텍처 및 핵심기능: 오케스트로 홈페이지 참조)","• 웹 기반 솔루션 개발 경험자
• Front-end(HTML, CSS, JavaScript) 활용 가능하신 분
• Back-end(Java, SpringFramework) 활용 가능하신 분","• 국가정보자원관리원 경력이 있으신 분
• 클라우드 시스템의 이해를 갖추신 분
• 관련 경력 3년이상
• 관련 자격증(정보처리기사) 취득",Python
